name	uuid	color	loyalty	mana_cost	text	type	power	toughness
Abattoir Ghoul	849d948e-bfd4-5631-8690-fd376870834d	['B']		{3}{B}	"First strike
Whenever a creature dealt damage by Abattoir Ghoul this turn dies, you gain life equal to that creature's toughness."		3	2
Abbey Gargoyles	4aff8b88-268a-56e4-907e-5027df081669	['W']		{2}{W}{W}{W}	Flying, protection from red		3	4
Abbey Griffin	66e5b4a8-7c0d-51ed-bc18-a5c6fb20d690	['W']		{3}{W}	Flying, vigilance		2	2
Abbey Matron	98fbf6aa-f5de-5461-99a9-02e8d5fa0bcb	['W']		{2}{W}	{W}, {T}: Abbey Matron gets +0/+3 until end of turn.		1	3
Abbot of Keral Keep	c33b24eb-8491-558e-a034-89ea7e51f935	['R']		{1}{R}	"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
When Abbot of Keral Keep enters the battlefield, exile the top card of your library. Until end of turn, you may play that card."		2	1
Abduction	fc6d5900-d282-59ab-86ca-3767fcb60157	['U']		{2}{U}{U}	"Enchant creature
When Abduction enters the battlefield, untap enchanted creature.
You control enchanted creature.
When enchanted creature dies, return that card to the battlefield under its owner's control."			
Aberrant Researcher	0d06c2a5-3d5c-57c0-85f7-54120b646f6a	['U']		{3}{U}	"Flying
At the beginning of your upkeep, put the top card of your library into your graveyard. If it's an instant or sorcery card, transform Aberrant Researcher."		3	2
Abeyance	bcd7c0a5-f347-5692-b23f-036c5f8dd31f	['W']		{1}{W}	"Until end of turn, target player can't cast instant or sorcery spells, and that player can't activate abilities that aren't mana abilities.
Draw a card."			
Abhorrent Overlord	9249fc0a-8094-5f3b-96c7-0f0ad34133ec	['B']		{5}{B}{B}	"Flying
When Abhorrent Overlord enters the battlefield, create a number of 1/1 black Harpy creature tokens with flying equal to your devotion to black. (Each {B} in the mana costs of permanents you control counts toward your devotion to black.)
At the beginning of your upkeep, sacrifice a creature."		6	6
Abjure	82a3e993-0388-5df6-930a-15ce890dc14e	['U']		{U}	"As an additional cost to cast this spell, sacrifice a blue permanent.
Counter target spell."			
Abnormal Endurance	85c09af2-ef8b-5625-817c-574dbeedf89f	['B']		{1}{B}	"Until end of turn, target creature gets +2/+0 and gains ""When this creature dies, return it to the battlefield tapped under its owner's control."""			
Abolish	5ad098e5-8b9b-5478-b04a-dde587c79821	['W']		{1}{W}{W}	"You may discard a Plains card rather than pay this spell's mana cost.
Destroy target artifact or enchantment."			
Abolisher of Bloodlines	98cd5aa4-180f-5059-814a-afbb900f835d				"Flying
When this creature transforms into Abolisher of Bloodlines, target opponent sacrifices three creatures."		6	5
Abomination	fc58c459-9827-5244-85b2-5e76af1b0bf2	['B']		{3}{B}{B}	Whenever Abomination blocks or becomes blocked by a green or white creature, destroy that creature at end of combat.		2	6
Abomination of Gudul	aef2b3de-ed09-591e-ac6b-ecf62bac4a6b	['B', 'G', 'U']		{3}{B}{G}{U}	"Flying
Whenever Abomination of Gudul deals combat damage to a player, you may draw a card. If you do, discard a card.
Morph {2}{B}{G}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)"		3	4
Aboroth	a103d4e0-66a4-5a0e-8a33-a429c2053a9e	['G']		{4}{G}{G}	Cumulative upkeep—Put a -1/-1 counter on Aboroth. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)		9	9
Aboshan's Desire	945fc299-09e8-540d-ac8f-207a404be393	['U']		{U}	"Enchant creature
Enchanted creature has flying.
Threshold — Enchanted creature has shroud as long as seven or more cards are in your graveyard. (It can't be the target of spells or abilities.)"			
Aboshan, Cephalid Emperor	144ae019-5343-57b4-b00c-1d72f05014e1	['U']		{4}{U}{U}	"Tap an untapped Cephalid you control: Tap target permanent.
{U}{U}{U}: Tap all creatures without flying."		3	3
About Face	02e9a630-c93c-50bc-abcb-1e9369055ded	['R']		{R}	Switch target creature's power and toughness until end of turn.			
Abrade	4b921a1e-853d-50f7-9d76-d7f107c6c7e3	['R']		{1}{R}	"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact."			
Abrupt Decay	5d7be096-8ef1-5dfd-adee-a3d3eccaf4e1	['B', 'G']		{B}{G}	"This spell can't be countered.
Destroy target nonland permanent with converted mana cost 3 or less."			
Absolute Grace	218f0474-de7f-5c8e-9956-0d7041bb5ccc	['W']		{1}{W}	All creatures have protection from black.			
Absolute Law	9bffc560-c719-5c23-841f-b6b5e30c2fa6	['W']		{1}{W}	All creatures have protection from red.			
Absolver Thrull	89c4fb10-8766-5ebb-999d-3c939cac9682	['W']		{3}{W}	"Haunt (When this creature dies, exile it haunting target creature.)
When Absolver Thrull enters the battlefield or the creature it haunts dies, destroy target enchantment."		2	3
Absorb	f5f0ce1a-7ed3-5c87-b3b5-a428499b0042	['U', 'W']		{W}{U}{U}	Counter target spell. You gain 3 life.			
Absorb Vis	47e6d03f-cceb-5c2a-84d7-dc94e5b07597	['B']		{6}{B}	"Target player loses 4 life and you gain 4 life.
Basic landcycling {1}{B} ({1}{B}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle your library.)"			
Abstruse Interference	188d584d-1723-55e4-b346-2478b8e78a53			{2}{U}	"Devoid (This card has no color.)
Counter target spell unless its controller pays {1}. You create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this creature: Add {C}."" ({C} represents colorless mana.)"			
Abu Ja'far	8f2426c7-7523-56b8-a5a3-19b2c6b437c7	['W']		{W}	When Abu Ja'far dies, destroy all creatures blocking or blocked by it. They can't be regenerated.		0	1
Abuna Acolyte	2fe77d9e-dc88-5701-9e2a-8ff14f996f91	['W']		{1}{W}	"{T}: Prevent the next 1 damage that would be dealt to any target this turn.
{T}: Prevent the next 2 damage that would be dealt to target artifact creature this turn."		1	1
Abuna's Chant	3b592aa3-0300-570a-b1a8-73983e2dc5cb	['W']		{3}{W}	"Choose one —
• You gain 5 life.
• Prevent the next 5 damage that would be dealt to target creature this turn.
Entwine {2} (Choose both if you pay the entwine cost.)"			
Abundance	1669af17-d287-5094-b005-4b143441442f	['G']		{2}{G}{G}	If you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.			
Abundant Growth	09efc661-3897-5866-b78f-d2eaf220ff83	['G']		{G}	"Enchant land
When Abundant Growth enters the battlefield, draw a card.
Enchanted land has ""{T}: Add one mana of any color."""			
Abundant Maw	69dea497-0092-5075-a125-e36030c32170			{8}	"Emerge {6}{B} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's converted mana cost.)
When you cast this spell, target opponent loses 3 life and you gain 3 life."		6	4
Abyssal Gatekeeper	ae59023b-c4be-55cd-904b-eb5e269b4c8e	['B']		{1}{B}	When Abyssal Gatekeeper dies, each player sacrifices a creature.		1	1
Abyssal Horror	9130a73c-35fc-5f2d-9c05-07971e8025e1	['B']		{4}{B}{B}	"Flying
When Abyssal Horror enters the battlefield, target player discards two cards."		2	2
Abyssal Hunter	1b26df17-c215-52b0-bfe3-979ae190fac1	['B']		{3}{B}	{B}, {T}: Tap target creature. Abyssal Hunter deals damage equal to Abyssal Hunter's power to that creature.		1	1
Abyssal Nightstalker	cfce190e-ec2f-5406-9f96-3d9064d3d800	['B']		{3}{B}	Whenever Abyssal Nightstalker attacks and isn't blocked, defending player discards a card.		2	2
Abyssal Nocturnus	a85bc320-e2cb-5455-904f-5bf3bb8cf5b5	['B']		{1}{B}{B}	Whenever an opponent discards a card, Abyssal Nocturnus gets +2/+2 and gains fear until end of turn. (It can't be blocked except by artifact creatures and/or black creatures.)		2	2
Abyssal Persecutor	669eecaf-eaaa-5c5b-9691-7d95262561ff	['B']		{2}{B}{B}	"Flying, trample
You can't win the game and your opponents can't lose the game."		6	6
Abyssal Specter	7425ddb0-b410-5913-ad07-74e1154577df	['B']		{2}{B}{B}	"Flying
Whenever Abyssal Specter deals damage to a player, that player discards a card."		2	3
Abzan Advantage	d38b5313-21f3-5340-8daf-bef9f2f47560	['W']		{1}{W}	Target player sacrifices an enchantment. Bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)			
Abzan Ascendancy	a103dc00-5f4b-540d-b309-9d3925a04d76	['B', 'G', 'W']		{W}{B}{G}	"When Abzan Ascendancy enters the battlefield, put a +1/+1 counter on each creature you control.
Whenever a nontoken creature you control dies, create a 1/1 white Spirit creature token with flying."			
Abzan Banner	246c3004-7189-5ff3-a450-41588d1e07a7			{3}	"{T}: Add {W}, {B}, or {G}.
{W}{B}{G}, {T}, Sacrifice Abzan Banner: Draw a card."			
Abzan Battle Priest	313f37c8-0777-564b-89d4-8ab23c3e5e92	['W']		{3}{W}	"Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)
Each creature you control with a +1/+1 counter on it has lifelink."		3	2
Abzan Beastmaster	d7c3c7f7-1d1f-58b6-b7ac-60ce4a6fd64f	['G']		{2}{G}	At the beginning of your upkeep, draw a card if you control the creature with the greatest toughness or tied for the greatest toughness.		2	1
Abzan Charm	dbd28d43-5305-5ff6-9623-904cd9e8addf	['B', 'G', 'W']		{W}{B}{G}	"Choose one —
• Exile target creature with power 3 or greater.
• You draw two cards and you lose 2 life.
• Distribute two +1/+1 counters among one or two target creatures."			
Abzan Falconer	ab834747-f9da-56b5-b74f-16982e249682	['W']		{2}{W}	"Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)
Each creature you control with a +1/+1 counter on it has flying."		2	3
Abzan Guide	f7d36f7a-32ba-560f-92a6-aa90c1021484	['B', 'G', 'W']		{3}{W}{B}{G}	"Lifelink (Damage dealt by this creature also causes you to gain that much life.)
Morph {2}{W}{B}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)"		4	4
Abzan Kin-Guard	64def293-4a7e-58f6-8d64-80ef820bfb4f	['G']		{3}{G}	Abzan Kin-Guard has lifelink as long as you control a white or black permanent.		3	3
Abzan Runemark	6553c203-a8fb-5790-a249-ea9c1a9673c8	['W']		{2}{W}	"Enchant creature
Enchanted creature gets +2/+2.
Enchanted creature has vigilance as long as you control a black or green permanent."			
Abzan Skycaptain	c4108f2e-b107-5b9c-a4e5-4a6c38da5cd4	['W']		{3}{W}	"Flying
When Abzan Skycaptain dies, bolster 2. (Choose a creature with the least toughness among creatures you control and put two +1/+1 counters on it.)"		2	2
Academy Drake	9d13ce9b-1731-5ce5-a209-c590829d0aeb	['U']		{2}{U}	"Kicker {4} (You may pay an additional {4} as you cast this spell.)
Flying
If Academy Drake was kicked, it enters the battlefield with two +1/+1 counters on it."		2	2
Academy Elite	97a5d817-4c28-5a28-b9ec-257f9d50d9ce	['U']		{3}{U}	"Academy Elite enters the battlefield with X +1/+1 counters on it, where X is the number of instant and sorcery cards in all graveyards.
{2}{U}, Remove a +1/+1 counter from Academy Elite: Draw a card, then discard a card."		0	0
Academy Journeymage	6ce29456-b8e5-5c42-8233-a734819eb614	['U']		{4}{U}	"This spell costs {1} less to cast if you control a Wizard.
When Academy Journeymage enters the battlefield, return target creature an opponent controls to its owner's hand."		3	2
Academy Raider	836a72e7-1ddc-5bc4-9461-bb4946150b63	['R']		{2}{R}	"Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)
Whenever Academy Raider deals combat damage to a player, you may discard a card. If you do, draw a card."		1	1
Academy Rector	50e67fec-8d9b-570b-89f3-ecba7fcf85d3	['W']		{3}{W}	When Academy Rector dies, you may exile it. If you do, search your library for an enchantment card, put that card onto the battlefield, then shuffle your library.		1	2
Academy Researchers	047d5499-a21c-5f5c-9679-1599fcaf9815	['U']		{1}{U}{U}	When Academy Researchers enters the battlefield, you may put an Aura card from your hand onto the battlefield attached to Academy Researchers.		2	2
Academy Ruins	7cccfd1e-5299-564e-b325-2f3c56213292				"{T}: Add {C}.
{1}{U}, {T}: Put target artifact card from your graveyard on top of your library."			
Academy at Tolaria West	2227dfa0-5734-5d44-bf67-c198b10ee5e2				"At the beginning of your end step, if you have no cards in hand, draw seven cards.
Whenever you roll {CHAOS}, discard your hand."			
Accelerate	59e2d0ea-fec9-5bad-a8ac-46da0a0a1326	['R']		{1}{R}	"Target creature gains haste until end of turn.
Draw a card."			
Accelerated Mutation	54eb1f94-384f-55a4-a785-c648d7edd47c	['G']		{3}{G}{G}	Target creature gets +X/+X until end of turn, where X is the highest converted mana cost among permanents you control.			
Acceptable Losses	c6cc21d4-3a16-5890-9b22-8d74d980dbb8	['R']		{3}{R}	"As an additional cost to cast this spell, discard a card at random.
Acceptable Losses deals 5 damage to target creature."			
Accessories to Murder	2918673d-455c-5cc0-b74f-bf1463c11183				Whenever you crank Accessories to Murder, target creature gets +X/+0 until end of turn, where X is the number of creatures you control.			
Accomplished Automaton	c4a477ef-1f79-5838-adf6-c436045d7a42			{7}	Fabricate 1 (When this creature enters the battlefield, put a +1/+1 counter on it or create a 1/1 colorless Servo artifact creature token.)		5	7
Accorder Paladin	c1fda0a4-a8ee-51b4-93e6-b735a262e896	['W']		{1}{W}	Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)		3	1
Accorder's Shield	c8ffb72e-295b-56e1-8e5b-c06664368898			{0}	"Equipped creature gets +0/+3 and has vigilance. (Attacking doesn't cause it to tap.)
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)"			
Accumulated Knowledge	0191344d-4ba1-5797-a6be-d00674263b12	['U']		{1}{U}	Draw a card, then draw cards equal to the number of cards named Accumulated Knowledge in all graveyards.			
Accursed Centaur	6a4752b5-4d8e-5c6c-957e-d46b6d6a60c2	['B']		{B}	When Accursed Centaur enters the battlefield, sacrifice a creature.		2	2
Accursed Horde	18b5a1b8-8d78-5343-a4eb-f6045b4fdc8b	['B']		{3}{B}	"{1}{B}: Target attacking Zombie gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it. If its toughness is 0 or less, it's still put into its owner's graveyard.)"		3	3
Accursed Spirit	f26feed9-03b0-5db3-a7a5-37bd3abd99a2	['B']		{3}{B}	Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)		3	2
Accursed Witch	cbfd2893-b3ab-538f-95eb-0926d317eb58	['B']		{3}{B}	"Spells your opponents cast that target Accursed Witch cost {1} less to cast.
When Accursed Witch dies, return it to the battlefield transformed under your control attached to target opponent."		4	2
Acid Rain	77b31049-0f44-5265-b088-9f455a59045d	['U']		{3}{U}	Destroy all Forests.			
Acid Web Spider	f402be80-8728-5587-a0e8-44b3811fd78a	['G']		{3}{G}{G}	"Reach
When Acid Web Spider enters the battlefield, you may destroy target Equipment."		3	5
Acid-Spewer Dragon	447a256c-00c3-55c3-8b8a-d7d73d6e4f25	['B']		{5}{B}	"Flying, deathtouch
Megamorph {5}{B}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)
When Acid-Spewer Dragon is turned face up, put a +1/+1 counter on each other Dragon creature you control."		3	3
Acidic Dagger	fd254d2e-339f-5a34-a8cd-655c8e89f140			{4}	{4}, {T}: Whenever target creature deals combat damage to a non-Wall creature this turn, destroy that non-Wall creature. When the targeted creature leaves the battlefield this turn, sacrifice Acidic Dagger. Activate this ability only before blockers are declared.			
Acidic Slime	4da16c72-ce09-5240-a7bb-8de023cea9ae	['G']		{3}{G}{G}	"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land."		2	2
Acidic Sliver	89feffa9-fba3-5efc-86bb-885992eaf4e8	['B', 'R']		{B}{R}	"All Slivers have ""{2}, Sacrifice this permanent: This permanent deals 2 damage to any target."""		2	2
Acidic Soil	8c669d23-9bf6-562f-b632-f049059accca	['R']		{2}{R}	Acidic Soil deals damage to each player equal to the number of lands they control.			
Acolyte of Xathrid	2f33c00f-36b4-57e8-bd3a-8fc91ea74f8d	['B']		{B}	{1}{B}, {T}: Target player loses 1 life.		0	1
Acolyte of the Inferno	ee20dd0a-2594-56f2-a1dd-2eaa6469517a	['R']		{2}{R}	"Renown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)
Whenever Acolyte of the Inferno becomes blocked by a creature, it deals 2 damage to that creature."		3	1
Acolyte's Reward	69b4b108-5458-543f-a4f6-79ab117be1e7	['W']		{1}{W}	Prevent the next X damage that would be dealt to target creature this turn, where X is your devotion to white. If damage is prevented this way, Acolyte's Reward deals that much damage to any target. (Each {W} in the mana costs of permanents you control counts toward your devotion to white.)			
Acorn Catapult	cc41faa0-3ad5-5b8d-8684-265a679ccf22			{4}	{1}, {T}: Acorn Catapult deals 1 damage to any target. That permanent's controller or that player creates a 1/1 green Squirrel creature token.			
Acorn Harvest	a3c08d63-42c5-5ea8-bb14-ba7033182908	['G']		{3}{G}	"Create two 1/1 green Squirrel creature tokens.
Flashback—{1}{G}, Pay 3 life. (You may cast this card from your graveyard for its flashback cost. Then exile it.)"			
Acquire	a11bece4-0967-5395-8124-7c688378f5e0	['U']		{3}{U}{U}	Search target opponent's library for an artifact card and put that card onto the battlefield under your control. Then that player shuffles their library.			
Acridian	9a410c3f-5f1d-5f82-a724-33259f39c933	['G']		{1}{G}	Echo {1}{G} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)		2	4
Acrobatic Maneuver	f84c9f0d-a206-58b8-b13d-c74624ea0123	['W']		{2}{W}	"Exile target creature you control, then return that card to the battlefield under its owner's control.
Draw a card."			
Act of Aggression	a014a243-1e5e-5edd-9eb6-bb53be80fed2	['R']		{3}{R/P}{R/P}	"({R/P} can be paid with either {R} or 2 life.)
Gain control of target creature an opponent controls until end of turn. Untap that creature. It gains haste until end of turn."			
Act of Authority	319589e9-a2a9-590c-b8a8-463aafc4fd98	['W']		{1}{W}{W}	"When Act of Authority enters the battlefield, you may exile target artifact or enchantment.
At the beginning of your upkeep, you may exile target artifact or enchantment. If you do, its controller gains control of Act of Authority."			
Act of Heroism	fcfc8993-e11c-51e1-8a36-450a06a1d9d9	['W']		{1}{W}	Untap target creature. It gets +2/+2 until end of turn and can block an additional creature this turn.			
Act of Treason	5fd6692f-5fa5-5964-a366-cbfe1e2548a3	['R']		{2}{R}	Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn.			
Act on Impulse	a21c0899-6ab3-51d6-b6f3-9f2f774820df	['R']		{2}{R}	Exile the top three cards of your library. Until end of turn, you may play cards exiled this way. (If you cast a spell this way, you still pay its costs. You can play a land this way only if you have an available land play remaining.)			
Active Volcano	93104525-222f-5f82-8350-da27193c2e50	['R']		{R}	"Choose one —
• Destroy target blue permanent.
• Return target Island to its owner's hand."			
Ad Nauseam	78ee699f-d25d-594d-abd0-176af9cdbc9f	['B']		{3}{B}{B}	Reveal the top card of your library and put that card into your hand. You lose life equal to its converted mana cost. You may repeat this process any number of times.			
Adamant Will	b5f98d3d-533e-5306-ab6a-824c6449e6b5	['W']		{1}{W}	"Target creature gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)"			
Adamaro, First to Desire	e30e5324-ca8b-5759-9c9c-cf6b29532349	['R']		{1}{R}{R}	Adamaro, First to Desire's power and toughness are each equal to the number of cards in the hand of the opponent with the most cards in hand.		*	*
Adanto Vanguard	8bda5ce8-2cd7-533e-be13-3fa4de67031e	['W']		{1}{W}	"As long as Adanto Vanguard is attacking, it gets +2/+0.
Pay 4 life: Adanto Vanguard gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)"		1	1
Adanto, the First Fort	6b39dcef-0abd-5f0c-99c6-0e606253a8be				"(Transforms from Legion's Landing.)
{T}: Add {W}.
{2}{W}, {T}: Create a 1/1 white Vampire creature token with lifelink."			
Adaptive Automaton	d9af9610-f094-57c1-afaf-0fbbeff4ef5e			{3}	"As Adaptive Automaton enters the battlefield, choose a creature type.
Adaptive Automaton is the chosen type in addition to its other types.
Other creatures you control of the chosen type get +1/+1."		2	2
Adaptive Snapjaw	c372ddb3-a479-5960-bd41-28a151d432d5	['G']		{4}{G}	Evolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)		6	2
Adarkar Sentinel	32b287ae-5ac1-5166-920b-64fd5bfdd50b			{5}	{1}: Adarkar Sentinel gets +0/+1 until end of turn.		3	3
Adarkar Unicorn	388596e7-6d48-5525-b62d-fab486084c59	['W']		{1}{W}{W}	{T}: Add {U} or {C}{U}. Spend this mana only to pay cumulative upkeep costs.		2	2
Adarkar Valkyrie	afece404-c61e-5799-bb8f-bcc6ebb4a4f2	['W']		{4}{W}{W}	"Flying, vigilance
{T}: When target creature other than Adarkar Valkyrie dies this turn, return that card to the battlefield under your control."		4	5
Adarkar Wastes	dca3900f-fc70-5504-8145-706ff40ae76f				"{T}: Add {C}.
{T}: Add {W} or {U}. Adarkar Wastes deals 1 damage to you."			
Adarkar Windform	adcf13f5-7650-5e4d-ac63-e44c07440423	['U']		{4}{U}	"Flying
{1}{S}: Target creature loses flying until end of turn. ({S} can be paid with one mana from a snow permanent.)"		3	3
Adder-Staff Boggart	4b6c629d-2acc-54ac-bf49-788b393665c7	['R']		{1}{R}	When Adder-Staff Boggart enters the battlefield, clash with an opponent. If you win, put a +1/+1 counter on Adder-Staff Boggart. (Each clashing player reveals the top card of their library, then puts that card on the top or bottom. A player wins if their card had a higher converted mana cost.)		2	1
Addle	0dbdd110-92a6-5340-abe3-f03c12c6017c	['B']		{1}{B}	Choose a color. Target player reveals their hand and you choose a card of that color from it. That player discards that card.			
Adeliz, the Cinder Wind	3dc0bc7b-b61d-54da-92e2-3b960ffef841	['R', 'U']		{1}{U}{R}	"Flying, haste
Whenever you cast an instant or sorcery spell, Wizards you control get +1/+1 until end of turn."		2	2
Admiral Beckett Brass	5939db74-d09f-5a94-b659-e0daede31e48	['B', 'R', 'U']		{1}{U}{B}{R}	"Other Pirates you control get +1/+1.
At the beginning of your end step, gain control of target nonland permanent controlled by a player who was dealt combat damage by three or more Pirates this turn."		3	3
Admiral's Order	1117af0a-4143-53f1-b5bf-ad49a3792c22	['U']		{1}{U}{U}	"Raid — If you attacked with a creature this turn, you may pay {U} rather than pay this spell's mana cost.
Counter target spell."			
Admonition Angel	8f807d08-404b-53c3-ba01-5419d2d3c024	['W']		{3}{W}{W}{W}	"Flying
Landfall — Whenever a land enters the battlefield under your control, you may exile target nonland permanent other than Admonition Angel.
When Admonition Angel leaves the battlefield, return all cards exiled with it to the battlefield under their owners' control."		6	6
Adorable Kitten	e087d2a8-b587-5179-8e74-6c90b0c50d41	['W']		{W}	When this creature enters the battlefield, roll a six-sided die. You gain life equal to the result.		1	1
Adorned Pouncer	7a290a84-8bc4-5da4-9140-7828d5152ae4	['W']		{1}{W}	"Double strike
Eternalize {3}{W}{W} ({3}{W}{W}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a 4/4 black Zombie Cat with no mana cost. Eternalize only as a sorcery.)"		1	1
Adriana's Valor	64587696-c610-5ed3-8e3a-0ed89c121ab0				"Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly choose a card name. You may turn this conspiracy face up any time and reveal that name.)
Whenever a creature you control with the chosen name attacks, you may pay {W}. If you do, that creature gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)"			
Adriana, Captain of the Guard	5807d2ea-41b1-53cb-8b26-53c7ff65c53f	['R', 'W']		{3}{R}{W}	"Melee (Whenever this creature attacks, it gets +1/+1 until end of turn for each opponent you attacked with a creature this combat.)
Other creatures you control have melee. (If a creature has multiple instances of melee, each triggers separately.)"		4	4
Adun Oakenshield	f3f93746-1df1-5b5d-a8af-1f14335f8e60	['B', 'G', 'R']		{B}{R}{G}	{B}{R}{G}, {T}: Return target creature card from your graveyard to your hand.		1	2
Advance Scout	23c57d2b-b961-5ea7-9603-7208eb44ae25	['W']		{1}{W}	"First strike
{W}: Target creature gains first strike until end of turn."		1	1
Advanced Hoverguard	59d44744-db84-548e-9802-49d32fb1d8b0	['U']		{3}{U}	"Flying
{U}: Advanced Hoverguard gains shroud until end of turn. (It can't be the target of spells or abilities.)"		2	2
Advanced Stitchwing	bafae1c2-d11a-55db-8973-6f29cb4957f2	['U']		{3}{U}{U}	"Flying
{2}{U}, Discard two cards: Return Advanced Stitchwing from your graveyard to the battlefield tapped."		3	4
Advantageous Proclamation	0222e471-d1db-55eb-a891-bd825ff20234				"(Start the game with this conspiracy face up in the command zone.)
Your minimum deck size is reduced by five."			
Advent of the Wurm	d7eb4e02-58f7-580f-b416-0ee79f0b25c9	['G', 'W']		{1}{G}{G}{W}	Create a 5/5 green Wurm creature token with trample.			
